iter	MAE	Tweedie:variance_power=1.5
111	41.09719542	35.74957453
112	41.08972007	35.5206385
113	41.08365216	35.3008554
114	41.07809475	35.09310272
115	41.07260365	34.88324979
116	41.06693877	34.67354624
117	41.06127057	34.46656272
118	41.05475866	34.25580604
119	41.04905399	34.05449359
120	41.04301158	33.85142406
121	41.03772513	33.66114368
122	41.03171957	33.46561792
123	41.02642335	33.27488099
124	41.02121391	33.09209586
125	41.01466796	32.89713713
126	41.00883798	32.70873278
127	41.00292101	32.52118309
128	40.99782957	32.34741202
129	40.9897535	32.15674465
130	40.98233024	31.97543028
131	40.97673436	31.79857881
132	40.97055408	31.62005069
133	40.96567501	31.45571342
134	40.96056841	31.28778413
135	40.95547772	31.12231098
136	40.95035659	30.95786
137	40.94407467	30.78884609
138	40.93866773	30.62651398
139	40.93191483	30.46357328
140	40.9252932	30.29922452
141	40.92015297	30.1437456
142	40.91429302	29.98607633
143	40.90882791	29.83215662
144	40.90426275	29.68719313
145	40.89974692	29.54675307
146	40.89522101	29.40876949
147	40.88913681	29.25802427
148	40.88365501	29.11269777
149	40.87925147	28.97960056
150	40.87439218	28.84188541
151	40.86999285	28.71326401
152	40.86469153	28.57711893
153	40.86039743	28.45026613
154	40.85403215	28.31016414
155	40.84944157	28.18232448
156	40.84520582	28.0614121
157	40.84027582	27.93482428
158	40.83486783	27.80519519
159	40.83074202	27.68862133
160	40.8249578	27.5611615
161	40.81986181	27.43871613
162	40.81585396	27.32544052
163	40.8110087	27.20570878
164	40.80582942	27.08720043
165	40.80188154	26.97909233
166	40.79484697	26.8566829
167	40.79095729	26.75105233
168	40.78661734	26.64182345
169	40.78278741	26.53955347
170	40.77898262	26.43786336
171	40.77318386	26.32468688
172	40.76795102	26.21512106
173	40.76299731	26.10844495
174	40.75872355	26.00586039
175	40.75329166	25.89896327
176	40.74967081	25.80355318
177	40.74462809	25.7012239
178	40.74103302	25.60855316
179	40.7354972	25.50683581
180	40.72988234	25.40591631
181	40.72635375	25.31711652
182	40.7228559	25.22987565
183	40.71830762	25.13657677
184	40.713189	25.04250391
185	40.70976228	24.95809457
186	40.70418317	24.86380286
187	40.697934	24.76875656
188	40.69194331	24.67566673
189	40.6860017	24.58379895
190	40.68081078	24.49455384
191	40.67633376	24.41037056
192	40.67306634	24.33468429
193	40.6685316	24.2525696
194	40.66240322	24.16869101
195	40.65792867	24.08871884
196	40.65477236	24.01644399
197	40.65155509	23.94371899
198	40.647377	23.86755067
199	40.64055483	23.78358381
200	40.63540824	23.70469557
201	40.63235444	23.63730681
202	40.62835063	23.56466821
203	40.62329869	23.48894508
204	40.62032787	23.42346567
205	40.6173675	23.36039843
206	40.61276213	23.28943669
207	40.60983867	23.22792369
208	40.60694693	23.16674402
209	40.60407253	23.10650089
210	40.60123849	23.04710049
211	40.59840038	22.98955532
212	40.59443523	22.92429436
213	40.59168068	22.86695888
214	40.58891791	22.81069984
215	40.5837416	22.74502089
216	40.58102086	22.69071064
217	40.57631111	22.62851667
218	40.5734038	22.57268439
219	40.57078563	22.52047927
220	40.56815599	22.46840632
221	40.56438022	22.41086844
222	40.55983387	22.35193166
223	40.55724899	22.30254243
224	40.55313744	22.24670065
225	40.54869929	22.18961124
226	40.54617252	22.14225844
227	40.54110669	22.08493629
228	40.53570301	22.02798845
229	40.53318147	21.98211635
230	40.53073887	21.93737993
231	40.52480069	21.88146949
232	40.5193763	21.82834927
233	40.51699913	21.78612102
234	40.51338123	21.73758623
235	40.51105432	21.69561513
236	40.50493056	21.6439112
237	40.49888362	21.59123867
238	40.49151992	21.53995202
239	40.48926493	21.50046279
240	40.48676067	21.45977528
241	40.48172064	21.41172326
242	40.47638296	21.36303112
243	40.47415824	21.32524448
244	40.47109533	21.2845116
245	40.46624144	21.23879159
246	40.4629927	21.19829516
247	40.45942786	21.15718948
248	40.45731628	21.12240966
249	40.45166943	21.07777283
250	40.44957005	21.04449995
251	40.44749849	21.01215044
252	40.44283819	20.97074109
253	40.438323	20.93014226
254	40.43336128	20.88906908
255	40.43120235	20.85667093
256	40.42657936	20.8169694
257	40.42199369	20.77829902
258	40.42004829	20.74816238
259	40.41427339	20.70829402
260	40.40968636	20.67071219
261	40.405018	20.63394435
262	40.40143532	20.59971215
263	40.39767288	20.56688833
264	40.3926884	20.53142525
265	40.38828393	20.49699236
266	40.38645035	20.47121431
267	40.38174278	20.43692781
268	40.37744904	20.40402132
269	40.37248875	20.37087707
270	40.36906883	20.34044541
271	40.36561452	20.31157637
272	40.36115851	20.2798206
273	40.35749216	20.25038009
274	40.35467423	20.22228485
275	40.35293906	20.1989005
276	40.34826447	20.16853772
277	40.34368423	20.13841272
278	40.33995872	20.10911435
279	40.33674526	20.08265845
280	40.33247686	20.05436387
281	40.33081458	20.03244475
282	40.32643052	20.00496586
283	40.32135431	19.97732726
284	40.31971819	19.95658451
285	40.31505339	19.92808518
286	40.30994571	19.90057803
287	40.30516773	19.87439893
288	40.30111528	19.84948611
289	40.29641167	19.82373905
290	40.29327075	19.79963919
291	40.29167338	19.78067979
292	40.29019483	19.76253686
293	40.28690679	19.74015688
294	40.28294508	19.71592009
295	40.27910064	19.69233037
296	40.27545837	19.67044145
297	40.2730561	19.65016091
298	40.26907264	19.62816741
299	40.26402169	19.60549728
300	40.26020181	19.58482515
301	40.2552919	19.56181238
302	40.25390401	19.5460852
303	40.2491949	19.52503917
304	40.24497506	19.50464934
305	40.24019051	19.48399337
306	40.23550636	19.46381177
307	40.23419454	19.44907984
308	40.23043524	19.43033155
309	40.22911088	19.41557101
310	40.22521537	19.39704641
311	40.22395648	19.38306329
312	40.22117724	19.36715883
313	40.21652872	19.34672835
314	40.21348502	19.32993607
315	40.2088574	19.31120721
316	40.20420081	19.29171227
317	40.20289699	19.2798039
318	40.20169391	19.2672751
319	40.19756165	19.25016069
320	40.19325222	19.23172208
321	40.19211606	19.21989429
322	40.18845228	19.20408416
323	40.18436334	19.1881991
324	40.18325319	19.17689569
325	40.179136	19.16091343
326	40.17546091	19.14620457
327	40.17431454	19.13507674
328	40.17266293	19.1239677
329	40.16866887	19.10771756
330	40.16610208	19.09541783
331	40.16205968	19.08051733
332	40.15821586	19.06615738
333	40.15715395	19.05614962
334	40.15417297	19.04401553
335	40.15075509	19.03067956
336	40.14913049	19.02087742
337	40.14812219	19.01156177
338	40.14712633	19.00276921
339	40.14388413	18.99115142
340	40.14192305	18.98110512
341	40.13964615	18.96890298
342	40.13869425	18.96040064
343	40.13675231	18.95086044
344	40.13583753	18.94295744
345	40.13199209	18.92876607
346	40.12832815	18.91551448
347	40.12659294	18.9069597
348	40.12385213	18.89535038
349	40.12070584	18.88347468
350	40.11699913	18.87093605
351	40.11412939	18.85946376
352	40.11026916	18.8468034
353	40.10696316	18.8346987
354	40.10385578	18.82334683
355	40.10103042	18.81421431
356	40.09855686	18.80573416
357	40.09487451	18.79412821
358	40.09074782	18.78202709
359	40.08682416	18.76934363
360	40.08438625	18.76120027
361	40.08356726	18.75489979
362	40.07960073	18.74442623
363	40.07551153	18.73396275
364	40.07264164	18.72427634
365	40.07187739	18.71844229
366	40.07112102	18.71264321
367	40.06688243	18.70125497
368	40.06524104	18.69348808
369	40.06285159	18.68623834
370	40.05900524	18.67582055
371	40.05523336	18.66645022
372	40.05443637	18.66083371
373	40.05148708	18.6524607
374	40.04848316	18.64365199
375	40.04641933	18.63724601
376	40.04410606	18.63054304
377	40.04112001	18.62148959
378	40.03751398	18.61168065
379	40.03415757	18.60448303
380	40.03190046	18.59823646
381	40.03022099	18.59218743
382	40.02659449	18.58302302
383	40.02311415	18.57360359
384	40.02053682	18.56523378
385	40.01624695	18.55564376
386	40.01318096	18.54793291
387	40.01187168	18.54233185
388	40.00907173	18.53476574
389	40.00542315	18.52634299
390	40.00181897	18.51885168
391	39.99866822	18.51088763
392	39.99472439	18.50311519
393	39.99169611	18.49581367
394	39.98820412	18.48751073
395	39.985336	18.48035479
396	39.98233786	18.47229326
397	39.98066763	18.46788303
398	39.97696888	18.46072039
399	39.97346984	18.45332194
400	39.96979865	18.44609934
401	39.96641685	18.43965986
402	39.96316146	18.43208797
403	39.9601985	18.42692001
404	39.95846151	18.42288665
405	39.95531273	18.41680168
406	39.95245586	18.41169029
407	39.94897786	18.40544288
408	39.94590461	18.39833881
409	39.94434076	18.3947272
410	39.94152088	18.38795708
411	39.93840387	18.38102315
412	39.93654877	18.37717079
413	39.93362625	18.3712231
414	39.93099432	18.36642238
415	39.92807811	18.36126808
416	39.924592	18.35549846
417	39.92106375	18.34884037
418	39.91803437	18.34286511
419	39.91572633	18.33892681
420	39.91237016	18.33209834
421	39.90939085	18.32569136
422	39.90629042	18.32022951
423	39.90293543	18.31458196
424	39.89989766	18.30965317
425	39.89690064	18.30471012
426	39.89419135	18.30068839
427	39.8915154	18.2963861
428	39.88986261	18.29135861
429	39.88782287	18.28796121
430	39.88655691	18.28486071
431	39.88336166	18.27866331
432	39.87996017	18.27340773
433	39.87673421	18.26734628
434	39.87483532	18.26429871
435	39.87183682	18.2585943
436	39.86897215	18.25292937
437	39.86605092	18.24761742
438	39.86388539	18.2445114
439	39.86142474	18.23976285
440	39.86012098	18.23561794
441	39.8568909	18.23034872
442	39.85508715	18.2267278
443	39.85183958	18.22202652
444	39.84937847	18.21882676
445	39.84603042	18.21427255
446	39.84390435	18.21133872
447	39.8419014	18.20642627
448	39.84019814	18.20198128
449	39.83827245	18.1976768
450	39.83706875	18.1936988
451	39.83568994	18.18865371
452	39.83509846	18.18384285
453	39.83485374	18.18094194
454	39.83631807	18.17684269
455	39.83776829	18.1730504
456	39.83736306	18.17199959
457	39.83765648	18.16789793
458	39.83797962	18.16307519
459	39.83802923	18.16038825
460	39.83837275	18.15660159
461	39.8385811	18.15225456
462	39.8403462	18.14869719
463	39.84211548	18.14484263
464	39.84258544	18.1403871
465	39.84276267	18.13773044
466	39.84238059	18.13684507
467	39.84238435	18.13491669
468	39.84226076	18.13208272
469	39.84264129	18.12813421
470	39.84452798	18.12450926
471	39.84527955	18.11999647
472	39.84516506	18.11844516
473	39.84571673	18.11460357
474	39.84645795	18.11054974
475	39.84861718	18.10698836
476	39.84910661	18.10364831
477	39.84898706	18.10152722
478	39.84985677	18.09710345
479	39.85039924	18.09393143
480	39.8509506	18.09080143
481	39.85296341	18.08742853
482	39.85344558	18.08425153
483	39.85338653	18.08141387
484	39.85332429	18.0785645
485	39.85326634	18.07582146
486	39.85392587	18.07231933
487	39.85439337	18.07054752
488	39.85505425	18.06707997
489	39.85498285	18.06468914
490	39.85489904	18.06238788
491	39.85680821	18.0593702
492	39.85673175	18.05726111
493	39.85890181	18.05405382
494	39.85933258	18.05208849
495	39.85967945	18.04997297
496	39.86170201	18.04635141
497	39.86343039	18.04394549
498	39.86396629	18.04125521
499	39.86623066	18.03831992
500	39.86732999	18.03537751
501	39.86731262	18.03336637
502	39.86766804	18.03145005
